absolute_change,config_key,current_value,from_year,indicator_code,indicator_name,percent_change,previous_value,ref_area,to_year,year_gap
257.2371,gdp_per_capita,10342.901,2018,WB_WDI_NY_GDP_PCAP_CD,GDP Per Capita,2.5505,10085.6638,CHN,2019,1
284.5628,gdp_per_capita,10627.4638,2019,WB_WDI_NY_GDP_PCAP_CD,GDP Per Capita,2.7513,10342.901,CHN,2020,1
2259.9719,gdp_per_capita,12887.4357,2020,WB_WDI_NY_GDP_PCAP_CD,GDP Per Capita,21.2654,10627.4638,CHN,2021,1
83.1699,gdp_per_capita,12970.6056,2021,WB_WDI_NY_GDP_PCAP_CD,GDP Per Capita,0.6454,12887.4357,CHN,2022,1
-19.4274,gdp_per_capita,12951.1782,2022,WB_WDI_NY_GDP_PCAP_CD,GDP Per Capita,-0.1498,12970.6056,CHN,2023,1
351.9699,gdp_per_capita,13303.1482,2023,WB_WDI_NY_GDP_PCAP_CD,GDP Per Capita,2.7177,12951.1782,CHN,2024,1
-1259.9689,gdp_per_capita,47656.1997,2018,WB_WDI_NY_GDP_PCAP_CD,GDP Per Capita,-2.5758,48916.1687,DEU,2019,1
-261.3263,gdp_per_capita,47394.8734,2019,WB_WDI_NY_GDP_PCAP_CD,GDP Per Capita,-0.5484,47656.1997,DEU,2020,1
4954.3725,gdp_per_capita,52349.246,2020,WB_WDI_NY_GDP_PCAP_CD,GDP Per Capita,10.4534,47394.8734,DEU,2021,1
-1842.728,gdp_per_capita,50506.518,2021,WB_WDI_NY_GDP_PCAP_CD,GDP Per Capita,-3.5201,52349.246,DEU,2022,1
4270.2489,gdp_per_capita,54776.7668,2022,WB_WDI_NY_GDP_PCAP_CD,GDP Per Capita,8.4548,50506.518,DEU,2023,1
1326.9655,gdp_per_capita,56103.7323,2023,WB_WDI_NY_GDP_PCAP_CD,GDP Per Capita,2.4225,54776.7668,DEU,2024,1
-544.2565,gdp_per_capita,43158.7411,2018,WB_WDI_NY_GDP_PCAP_CD,GDP Per Capita,-1.2454,43702.9976,GBR,2019,1
-2346.0617,gdp_per_capita,40812.6795,2019,WB_WDI_NY_GDP_PCAP_CD,GDP Per Capita,-5.4359,43158.7411,GBR,2020,1
6878.6974,gdp_per_capita,47691.3769,2020,WB_WDI_NY_GDP_PCAP_CD,GDP Per Capita,16.8543,40812.6795,GBR,2021,1
-634.3337,gdp_per_capita,47057.0432,2021,WB_WDI_NY_GDP_PCAP_CD,GDP Per Capita,-1.3301,47691.3769,GBR,2022,1
2887.427,gdp_per_capita,49944.4702,2022,WB_WDI_NY_GDP_PCAP_CD,GDP Per Capita,6.136,47057.0432,GBR,2023,1
3301.8974,gdp_per_capita,53246.3676,2023,WB_WDI_NY_GDP_PCAP_CD,GDP Per Capita,6.6111,49944.4702,GBR,2024,1
-2369.4662,gdp_per_capita,51648.9893,2018,WB_WDI_NY_GDP_PCAP_CD,GDP Per Capita,-4.3864,54018.4554,SWE,2019,1
919.5834,gdp_per_capita,52568.5727,2019,WB_WDI_NY_GDP_PCAP_CD,GDP Per Capita,1.7804,51648.9893,SWE,2020,1
8078.9689,gdp_per_capita,60647.5416,2020,WB_WDI_NY_GDP_PCAP_CD,GDP Per Capita,15.3684,52568.5727,SWE,2021,1
-5810.6509,gdp_per_capita,54836.8907,2021,WB_WDI_NY_GDP_PCAP_CD,GDP Per Capita,-9.581,60647.5416,SWE,2022,1
113.3927,gdp_per_capita,54950.2835,2022,WB_WDI_NY_GDP_PCAP_CD,GDP Per Capita,0.2068,54836.8907,SWE,2023,1
2167.2043,gdp_per_capita,57117.4877,2023,WB_WDI_NY_GDP_PCAP_CD,GDP Per Capita,3.9439,54950.2835,SWE,2024,1
2246.5762,gdp_per_capita,64746.4507,2018,WB_WDI_NY_GDP_PCAP_CD,GDP Per Capita,3.5945,62499.8744,USA,2019,1
-1230.5015,gdp_per_capita,63515.9492,2019,WB_WDI_NY_GDP_PCAP_CD,GDP Per Capita,-1.9005,64746.4507,USA,2020,1
6689.1017,gdp_per_capita,70205.0509,2020,WB_WDI_NY_GDP_PCAP_CD,GDP Per Capita,10.5314,63515.9492,USA,2021,1
6452.198,gdp_per_capita,76657.2489,2021,WB_WDI_NY_GDP_PCAP_CD,GDP Per Capita,9.1905,70205.0509,USA,2022,1
4375.0132,gdp_per_capita,81032.2621,2022,WB_WDI_NY_GDP_PCAP_CD,GDP Per Capita,5.7072,76657.2489,USA,2023,1
3501.7787,gdp_per_capita,84534.0408,2023,WB_WDI_NY_GDP_PCAP_CD,GDP Per Capita,4.3215,81032.2621,USA,2024,1
34.8818,health_expenditure_per_capita,538.9916,2018,WB_WDI_SH_XPD_CHEX_PC_CD,Health Expenditure Per Capita,6.9195,504.1098,CHN,2019,1
43.9594,health_expenditure_per_capita,582.9509,2019,WB_WDI_SH_XPD_CHEX_PC_CD,Health Expenditure Per Capita,8.1559,538.9916,CHN,2020,1
87.308,health_expenditure_per_capita,670.259,2020,WB_WDI_SH_XPD_CHEX_PC_CD,Health Expenditure Per Capita,14.9769,582.9509,CHN,2021,1
85.177,health_expenditure_per_capita,755.436,2021,WB_WDI_SH_XPD_CHEX_PC_CD,Health Expenditure Per Capita,12.7081,670.259,CHN,2022,1
7.9417,health_expenditure_per_capita,763.3776,2022,WB_WDI_SH_XPD_CHEX_PC_CD,Health Expenditure Per Capita,1.0513,755.436,CHN,2023,1
-26.2393,health_expenditure_per_capita,5447.3179,2018,WB_WDI_SH_XPD_CHEX_PC_CD,Health Expenditure Per Capita,-0.4794,5473.5571,DEU,2019,1
459.4883,health_expenditure_per_capita,5906.8062,2019,WB_WDI_SH_XPD_CHEX_PC_CD,Health Expenditure Per Capita,8.4351,5447.3179,DEU,2020,1
746.7773,health_expenditure_per_capita,6653.5835,2020,WB_WDI_SH_XPD_CHEX_PC_CD,Health Expenditure Per Capita,12.6427,5906.8062,DEU,2021,1
-427.4414,health_expenditure_per_capita,6226.1421,2021,WB_WDI_SH_XPD_CHEX_PC_CD,Health Expenditure Per Capita,-6.4242,6653.5835,DEU,2022,1
168.4805,health_expenditure_per_capita,6394.6226,2022,WB_WDI_SH_XPD_CHEX_PC_CD,Health Expenditure Per Capita,2.706,6226.1421,DEU,2023,1
454.6411,health_expenditure_per_capita,6849.2637,2023,WB_WDI_SH_XPD_CHEX_PC_CD,Health Expenditure Per Capita,7.1097,6394.6226,DEU,2024,1
26.4023,health_expenditure_per_capita,4260.0322,2018,WB_WDI_SH_XPD_CHEX_PC_CD,Health Expenditure Per Capita,0.6236,4233.6299,GBR,2019,1
605.9458,health_expenditure_per_capita,4865.978,2019,WB_WDI_SH_XPD_CHEX_PC_CD,Health Expenditure Per Capita,14.224,4260.0322,GBR,2020,1
779.4233,health_expenditure_per_capita,5645.4014,2020,WB_WDI_SH_XPD_CHEX_PC_CD,Health Expenditure Per Capita,16.0178,4865.978,GBR,2021,1
-533.584,health_expenditure_per_capita,5111.8174,2021,WB_WDI_SH_XPD_CHEX_PC_CD,Health Expenditure Per Capita,-9.4517,5645.4014,GBR,2022,1
295.353,health_expenditure_per_capita,5407.1704,2022,WB_WDI_SH_XPD_CHEX_PC_CD,Health Expenditure Per Capita,5.7778,5111.8174,GBR,2023,1
453.0688,health_expenditure_per_capita,5860.2393,2023,WB_WDI_SH_XPD_CHEX_PC_CD,Health Expenditure Per Capita,8.379,5407.1704,GBR,2024,1
-354.0903,health_expenditure_per_capita,5688.0449,2018,WB_WDI_SH_XPD_CHEX_PC_CD,Health Expenditure Per Capita,-5.8604,6042.1353,SWE,2019,1
342.4878,health_expenditure_per_capita,6030.5327,2019,WB_WDI_SH_XPD_CHEX_PC_CD,Health Expenditure Per Capita,6.0212,5688.0449,SWE,2020,1
863.6689,health_expenditure_per_capita,6894.2017,2020,WB_WDI_SH_XPD_CHEX_PC_CD,Health Expenditure Per Capita,14.3216,6030.5327,SWE,2021,1
-871.8091,health_expenditure_per_capita,6022.3926,2021,WB_WDI_SH_XPD_CHEX_PC_CD,Health Expenditure Per Capita,-12.6455,6894.2017,SWE,2022,1
183.8379,health_expenditure_per_capita,6206.2305,2022,WB_WDI_SH_XPD_CHEX_PC_CD,Health Expenditure Per Capita,3.0526,6022.3926,SWE,2023,1
278.5342,health_expenditure_per_capita,6484.7646,2023,WB_WDI_SH_XPD_CHEX_PC_CD,Health Expenditure Per Capita,4.488,6206.2305,SWE,2024,1
369.7383,health_expenditure_per_capita,10550.2207,2018,WB_WDI_SH_XPD_CHEX_PC_CD,Health Expenditure Per Capita,3.6318,10180.4824,USA,2019,1
1098.2744,health_expenditure_per_capita,11648.4951,2019,WB_WDI_SH_XPD_CHEX_PC_CD,Health Expenditure Per Capita,10.41,10550.2207,USA,2020,1
431.5781,health_expenditure_per_capita,12080.0732,2020,WB_WDI_SH_XPD_CHEX_PC_CD,Health Expenditure Per Capita,3.705,11648.4951,USA,2021,1
506.123,health_expenditure_per_capita,12586.1963,2021,WB_WDI_SH_XPD_CHEX_PC_CD,Health Expenditure Per Capita,4.1897,12080.0732,USA,2022,1
886.9971,health_expenditure_per_capita,13473.1934,2022,WB_WDI_SH_XPD_CHEX_PC_CD,Health Expenditure Per Capita,7.0474,12586.1963,USA,2023,1
0.231,life_expectancy,77.94,2018,WB_WDI_SP_DYN_LE00_IN,Life Expectancy,0.2973,77.709,CHN,2019,1
0.079,life_expectancy,78.019,2019,WB_WDI_SP_DYN_LE00_IN,Life Expectancy,0.1014,77.94,CHN,2020,1
0.098,life_expectancy,78.117,2020,WB_WDI_SP_DYN_LE00_IN,Life Expectancy,0.1256,78.019,CHN,2021,1
0.085,life_expectancy,78.202,2021,WB_WDI_SP_DYN_LE00_IN,Life Expectancy,0.1088,78.117,CHN,2022,1
-0.249,life_expectancy,77.953,2022,WB_WDI_SP_DYN_LE00_IN,Life Expectancy,-0.3184,78.202,CHN,2023,1
0.4,life_expectancy,81.2927,2018,WB_WDI_SP_DYN_LE00_IN,Life Expectancy,0.4945,80.8927,DEU,2019,1
-0.2512,life_expectancy,81.0415,2019,WB_WDI_SP_DYN_LE00_IN,Life Expectancy,-0.309,81.2927,DEU,2020,1
-0.2512,life_expectancy,80.7902,2020,WB_WDI_SP_DYN_LE00_IN,Life Expectancy,-0.31,81.0415,DEU,2021,1
-0.1822,life_expectancy,80.608,2021,WB_WDI_SP_DYN_LE00_IN,Life Expectancy,-0.2255,80.7902,DEU,2022,1
-0.0666,life_expectancy,80.5415,2022,WB_WDI_SP_DYN_LE00_IN,Life Expectancy,-0.0826,80.608,DEU,2023,1
0.113,life_expectancy,81.3691,2018,WB_WDI_SP_DYN_LE00_IN,Life Expectancy,0.1391,81.2561,GBR,2019,1
-1.0374,life_expectancy,80.3318,2019,WB_WDI_SP_DYN_LE00_IN,Life Expectancy,-1.2749,81.3691,GBR,2020,1
0.3156,life_expectancy,80.6473,2020,WB_WDI_SP_DYN_LE00_IN,Life Expectancy,0.3928,80.3318,GBR,2021,1
0.3639,life_expectancy,81.0112,2021,WB_WDI_SP_DYN_LE00_IN,Life Expectancy,0.4512,80.6473,GBR,2022,1
0.2269,life_expectancy,81.2381,2022,WB_WDI_SP_DYN_LE00_IN,Life Expectancy,0.2801,81.0112,GBR,2023,1
0.5512,life_expectancy,83.1098,2018,WB_WDI_SP_DYN_LE00_IN,Life Expectancy,0.6677,82.5585,SWE,2019,1
-0.7537,life_expectancy,82.3561,2019,WB_WDI_SP_DYN_LE00_IN,Life Expectancy,-0.9068,83.1098,SWE,2020,1
0.7,life_expectancy,83.0561,2020,WB_WDI_SP_DYN_LE00_IN,Life Expectancy,0.85,82.3561,SWE,2021,1
0.0024,life_expectancy,83.0585,2021,WB_WDI_SP_DYN_LE00_IN,Life Expectancy,0.0029,83.0561,SWE,2022,1
0.2512,life_expectancy,83.3098,2022,WB_WDI_SP_DYN_LE00_IN,Life Expectancy,0.3025,83.0585,SWE,2023,1
0.1488,life_expectancy,78.7878,2018,WB_WDI_SP_DYN_LE00_IN,Life Expectancy,0.1892,78.639,USA,2019,1
-1.8073,life_expectancy,76.9805,2019,WB_WDI_SP_DYN_LE00_IN,Life Expectancy,-2.2939,78.7878,USA,2020,1
-0.6512,life_expectancy,76.3293,2020,WB_WDI_SP_DYN_LE00_IN,Life Expectancy,-0.846,76.9805,USA,2021,1
1.1049,life_expectancy,77.4341,2021,WB_WDI_SP_DYN_LE00_IN,Life Expectancy,1.4475,76.3293,USA,2022,1
0.9512,life_expectancy,78.3854,2022,WB_WDI_SP_DYN_LE00_IN,Life Expectancy,1.2284,77.4341,USA,2023,1
